ID|group|gender|gene_expression
S893|control|F|0.38708109855154776
S773|case|F|0.5656622291194665
S313|case|F|1.7353967290861232
S17|case|F|0.4701269759638555
S574|control|F|1.242271260837918
S276|control|F|0.43571695160882956
S373|control|F|0.9636633297736911
S107|control|F|0.6125915680739346
S561|control|F|0.6167059111125581
S49|control|F|1.1358901535979482
S697|control|M|1.4297425562702737
S951|control|F|0.6502260036202399
S792|control|M|0.20234090307593863
S372|control|F|1.690315413741179
S585|case|F|1.0095257426589064
S123|control|M|0.08863602353103767
S220|control|F|1.2423348162180503
S876|control|M|0.26419323299705877
S449|control|F|0.9494279882847686
S609|case|M|0.9835527073730722
S3|case|M|1.116056923537958
S648|control|F|0.8198785386377712
S564|control|F|1.1390188107427301
S836|control|M|0.6492102616259686
S560|control|F|0.8818365616397092
S256|case|F|3.495177193669389
S667|case|M|0.8884037267988114
S928|control|F|0.38170540077920423
S595|control|F|0.6684977816922074
S682|case|F|1.9777969992476496
S14|control|F|0.7483067267180321
S166|control|F|0.25610554134272306
S68|control|F|0.2465627203579008
S483|case|F|2.4316096636732385
S346|case|F|0.8069808553496014
S352|control|F|0.8691785935476121
S223|control|F|1.8026290655035815
S221|control|M|0.38614132958694786
S27|case|F|1.375784511859638
S400|case|M|0.6680010777345908
S217|case|F|1.5770104938345793
S551|control|F|0.9098306297612255
S370|control|M|0.12095925353434799
S519|control|M|1.6089337314284873
S165|control|F|0.8443635933522975
S549|control|F|0.21098385910888998
S543|control|F|1.2054212424771151
S287|control|F|1.1996857285733178
S39|control|F|0.3003565024384099
S842|case|F|0.30238973892912135
S235|control|M|0.02115927739054671
S60|case|M|1.5581269972819216
S279|case|M|1.0666197896121152
S402|control|M|0.8258827209877082
S662|control|F|1.9457316593512803
S737|case|F|0.7802984881981163
S872|control|M|0.10965601292415839
S554|case|M|0.3843764679781241
S706|case|M|1.3675450946284826
S816|control|F|0.14908867844161444
S241|control|F|0.28754724143515564
S976|control|F|0.16237377064292782
S180|control|F|0.3325311954420706
S566|case|M|0.8821392704233587
S536|case|F|1.2714723382535729
S301|control|M|0.3275798582951945
S440|control|M|0.16242689140787203
S767|control|F|0.005420016053143141
S383|case|F|1.282429449194842
S801|case|F|1.3176517424415846
S690|control|M|0.548204668607007
S796|case|M|0.47200228769053665
S414|control|M|0.07187021963874084
S944|control|F|1.0729639883988056
S476|control|M|1.2421420828235612
S314|control|F|1.3934398063376126
S105|control|F|2.0190675594950798
S13|control|M|0.2633541631638554
S387|control|M|0.10356000745801683
S580|control|M|0.4263186123592309
S202|case|F|0.9436988876990494
S896|control|F|0.037864305132816
S141|case|M|1.4658037222413431
S156|case|F|1.2274496681820628
S365|control|F|0.8568981093091043
S339|control|F|0.5227795776953729
S394|control|F|1.1537869206932485
S888|control|F|2.0505083219028206
S153|control|M|1.236336412674229
S62|control|F|0.7277394760937732
S134|case|M|1.7410137254645708
S101|case|F|1.224615496678373
S614|control|F|0.8738482405833867
S661|control|F|0.7823950595290737
S460|control|F|0.5757469492357524
S611|control|M|0.3527035003586398
S275|control|M|1.0676188875376569
S406|case|F|0.6941991684373294
S252|control|F|0.5027883613288984
S178|case|F|0.47892226996184933
S309|control|M|1.302617712823181
S175|control|F|0.39099399517977623
S510|control|F|1.9532436089370053
S195|control|F|1.8582541960912284
S633|case|F|1.1423239158814038
S238|control|F|0.6587149275937307
S40|case|M|1.955970987099419
S152|control|F|0.799683994390989
S666|case|F|1.1546695157047648
S806|control|F|2.1096978345575748
S820|case|F|1.211880215406001
S843|case|M|1.4668996078557988
S55|case|F|0.9844307258633442
S708|control|M|0.5219716936790164
S159|control|M|1.0480202728525618
S895|control|F|0.00472795690793715
S374|case|F|1.4725624768015468
S88|control|F|1.4980638488526303
S811|case|F|0.13448199004158018
